TESEX,edtime,classdeg,classoth,exc,hw,reg,read,comp_games,working,caretaking,faminc,faminc_cat,race,race_num,GEREG,GESTFIPS,weekday,weekday_num,TUYEAR,TUMONTH,TESCHLVL,TUFINLWGT
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,8.0,2.0,Hispanic,1,3,48,Weekday,2,2003,1,2,7709452.581723
1,550.0,435.0,10.0,0.0,75.0,30.0,0.0,0.0,0.0,0.0,14.0,4.0,White,2,4,49,Weekday,2,2003,1,2,12175824.184264
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,White,2,3,51,Weekend,1,2003,1,1,2779799.227988
1,900.0,660.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,White,2,3,51,Weekday,2,2003,1,1,4298665.587644
1,690.0,495.0,0.0,0.0,195.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,Other,6,4,53,Weekday,2,2003,1,2,3792373.23919
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,12.0,3.0,Asian,5,2,17,Weekend,1,2003,1,2,2853433.26523
1,434.0,434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,Black,3,3,1,Weekday,2,2003,1,1,8148041.325558
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,8.0,2.0,Hispanic,1,4,4,Weekend,1,2003,1,2,2376906.522541
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,White,2,4,4,Weekend,1,2003,1,1,3572783.641379
1,176.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,White,2,4,4,Weekday,2,2003,1,2,7437736.041985
2,0.0,0.0,0.0,0.0,0.0,0.0,265.0,0.0,0.0,0.0,11.0,3.0,White,2,3,5,Weekday,2,2003,1,1,4463316.639903
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,White,2,4,6,Weekday,2,2003,1,1,8257958.218541
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,12.0,3.0,Hispanic,1,4,6,Weekday,2,2003,1,1,13822198.415177
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,Hispanic,1,4,6,Weekend,1,2003,1,1,3838000.599237
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,400.0,0.0,14.0,4.0,Asian,5,4,6,Weekday,2,2003,1,2,6713120.816705
1,125.0,115.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,4.0,Asian,5,4,6,Weekday,2,2003,1,2,14905939.805694
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,Hispanic,1,4,6,Weekend,1,2003,1,1,2925064.916203
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.0,0.0,6.0,1.0,Hispanic,1,4,6,Weekend,1,2003,1,2,1192796.026114
2,215.0,0.0,0.0,0.0,215.0,0.0,30.0,80.0,0.0,0.0,1.0,1.0,Asian,5,4,6,Weekday,2,2003,1,2,6283401.953694
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,White,2,4,6,Weekend,1,2003,1,2,2914933.177587
1,238.0,0.0,0.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,White,2,4,6,Weekend,1,2003,1,1,2525731.412152
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,5.0,1.0,White,2,4,6,Weekend,1,2003,1,2,3211524.465561
1,0.0,0.0,0.0,0.0,0.0,0.0,193.0,30.0,120.0,30.0,7.0,1.0,White,2,4,6,Weekday,2,2003,1,2,4243589.970325
2,0.0,0.0,0.0,0.0,0.0,0.0,416.0,0.0,0.0,0.0,7.0,1.0,White,2,4,6,Weekend,1,2003,1,1,3867430.734808
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,14.0,4.0,Hispanic,1,4,6,Weekend,1,2003,1,1,4920530.304896
2,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,Hispanic,1,4,6,Weekend,1,2003,1,1,3543121.631543
2,0.0,0.0,0.0,0.0,0.0,0.0,120.0,180.0,0.0,0.0,1.0,1.0,White,2,4,6,Weekend,1,2003,1,2,1960417.528128
1,555.0,395.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,White,2,4,6,Weekday,2,2003,1,2,20516409.593378
1,30.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,535.0,0.0,12.0,3.0,Other,6,4,8,Weekend,1,2003,1,1,1690829.049393
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,0.0,6.0,1.0,White,2,4,8,Weekend,1,2003,1,2,4329402.500616
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,White,2,4,8,Weekday,2,2003,1,2,2793275.321286
2,0.0,0.0,0.0,0.0,0.0,0.0,310.0,0.0,0.0,0.0,7.0,1.0,Hispanic,1,1,9,Weekend,1,2003,1,2,2263078.473645
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,Black,3,1,9,Weekend,1,2003,1,1,6657628.685167
2,915.0,424.0,0.0,341.0,150.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,Hispanic,1,3,12,Weekday,2,2003,1,1,8291423.696348
1,240.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,Hispanic,1,3,12,Weekend,1,2003,1,1,2782861.232618
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,0.0,14.0,4.0,White,2,3,12,Weekday,2,2003,1,2,5946713.131482
1,60.0,0.0,0.0,0.0,60.0,0.0,0.0,30.0,0.0,0.0,13.0,3.0,White,2,3,12,Weekend,1,2003,1,1,2395566.71166
2,450.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,White,2,3,12,Weekday,2,2003,1,1,4527742.874629
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,5.0,1.0,Hispanic,1,3,12,Weekend,1,2003,1,2,926758.025827
2,368.0,257.0,0.0,0.0,111.0,0.0,0.0,20.0,0.0,2.0,6.0,1.0,White,2,3,12,Weekday,2,2003,1,2,8978316.673346
2,175.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,White,2,3,12,Weekday,2,2003,1,2,9282116.623875
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,Black,3,3,12,Weekday,2,2003,1,1,9852367.898694
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557.0,95.0,11.0,3.0,White,2,3,12,Weekday,2,2003,1,2,2906422.435908
